timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Event_ID,Window_Number
5900,-1.69,7.32,19.62,0,1,9
5920,-1.26,-0.11,19.62,0,1,9
5940,1.29,-1.04,19.62,0,1,9
5960,-0.13,-1.41,19.62,0,1,9
5980,2.0,-3.3,19.37,0,1,9
6000,0.45,-7.15,12.77,0,1,9
6020,2.15,-5.7,11.36,0,1,9
6040,3.38,-3.56,9.81,0,1,9
6060,2.12,-2.5,8.25,0,1,9
6080,-0.6,-3.0,6.64,0,1,9
6100,1.19,-2.17,3.84,0,1,9
6120,2.93,-0.33,4.23,0,1,9
6140,1.18,0.48,3.3,0,1,9
6160,0.8,-0.68,2.3,0,1,9
6180,1.31,-2.45,1.09,0,1,9
6200,2.99,-5.08,3.74,0,1,9
6220,-0.31,-1.97,2.98,0,1,9
6240,-0.76,0.86,6.09,0,1,9
6260,-0.81,0.38,6.65,0,1,9
6280,0.26,-1.89,7.71,0,1,9
6300,-1.51,-3.06,7.15,0,1,9
6320,-3.27,-0.57,8.54,0,1,9
6340,-4.58,0.71,10.16,0,1,9
6360,-4.95,0.38,11.88,0,1,9
6380,-6.77,2.09,12.17,0,1,9
6400,-7.76,2.92,11.36,0,1,9
6420,-9.36,3.3,10.85,0,1,9
6440,-10.68,4.97,12.26,0,1,9
6460,-10.57,5.45,10.98,0,1,9
6480,-13.14,5.88,8.98,0,1,9
6500,-12.28,5.36,7.48,0,1,9
6520,-8.91,1.1,7.61,0,1,9
6540,-9.79,0.19,6.88,0,1,9
6560,-9.71,-0.32,4.56,0,1,9
6580,-8.16,0.4,3.22,0,1,9
6600,-7.22,0.49,4.33,0,1,9
6620,-5.93,0.49,5.41,0,1,9
6640,-5.49,0.05,5.25,0,1,9
6660,-5.38,0.21,4.81,0,1,9
6680,-4.82,-0.68,4.19,0,1,9
6700,-3.97,-0.91,5.45,0,1,9
6720,-4.08,-0.41,5.58,0,1,9
6740,-5.34,-0.17,4.99,0,1,9
6760,-5.9,-0.6,5.34,0,1,9
6780,-5.79,-0.91,6.02,0,1,9
6800,-6.11,-1.38,6.65,0,1,9
6820,-5.27,-2.2,7.01,0,1,9
6840,-5.69,-2.85,8.37,0,1,9
6860,-5.39,-1.51,10.19,0,1,9
6880,-5.67,-1.15,9.82,0,1,9
6900,-6.27,-1.84,8.45,0,1,9
6920,-5.23,-1.51,9.27,0,1,9
6940,-5.63,-1.77,9.34,0,1,9
6960,-5.42,-0.74,7.94,0,1,9
6980,-5.5,-0.8,8.21,0,1,9
7000,-5.03,-1.52,8.43,0,1,9
7020,-4.89,-1.5,8.33,0,1,9
7040,-4.51,-0.96,7.75,0,1,9
7060,-4.35,-0.3,8.0,0,1,9
7080,-4.19,-0.05,8.71,0,1,9
7100,-5.33,-0.02,6.34,0,1,9
7120,-5.55,-0.23,4.92,0,1,9
7140,-4.91,-0.81,5.88,0,1,9
7160,-4.67,-0.62,7.09,0,1,9
7180,-6.06,0.08,9.35,0,1,9
7200,-4.81,-0.36,7.35,0,1,9
7220,-5.63,0.05,7.97,0,1,9
7240,-5.77,-0.08,7.02,0,1,9
7260,-5.73,-0.03,6.92,0,1,9
7280,-5.81,-0.12,7.7,0,1,9
7300,-5.53,0.27,7.4,0,1,9
7320,-5.66,0.74,7.81,0,1,9
7340,-5.8,1.5,8.61,0,1,9
7360,-6.24,0.94,7.85,0,1,9
7380,-6.14,0.41,6.71,0,1,9
7400,-5.48,1.57,7.51,0,1,9
7420,-5.03,2.62,8.26,0,1,9
7440,-5.73,2.6,7.56,0,1,9
7460,-5.39,2.56,6.21,0,1,9
7480,-5.58,3.93,7.26,0,1,9
7500,-4.95,4.32,8.07,0,1,9
7520,-5.43,3.62,6.89,0,1,9
7540,-4.55,3.5,6.67,0,1,9
7560,-6.27,4.35,6.83,0,1,9
7580,-4.85,5.16,7.02,0,1,9
7600,-5.03,5.14,6.76,0,1,9
7620,-5.58,5.46,6.42,0,1,9
7640,-5.65,5.49,6.24,0,1,9
7660,-5.51,4.79,5.65,0,1,9
7680,-5.55,4.39,5.7,0,1,9
7700,-5.98,4.81,5.66,0,1,9
7720,-6.36,5.5,5.12,0,1,9
7740,-6.5,5.31,5.34,0,1,9
7760,-6.22,5.26,5.33,0,1,9
7780,-6.19,5.24,4.73,0,1,9
7800,-6.56,5.25,4.74,0,1,9
7820,-6.05,5.69,5.23,0,1,9
7840,-6.48,6.94,4.29,0,1,9
7860,-6.58,7.12,4.19,0,1,9
7880,-6.5,6.58,4.7,0,1,9
