timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Event_ID,Window_Number
5100,-8.35,0.91,-5.87,1,1,1
5120,-8.6,1.27,-5.69,1,1,1
5140,-10.42,1.57,-4.88,1,1,1
5160,-8.31,1.96,-5.1,1,1,1
5180,-7.69,1.58,-3.57,1,1,1
5200,-7.51,1.2,-3.14,1,1,1
5220,-8.11,0.33,-4.79,1,1,1
5240,-9.16,0.35,-5.9,0,1,1
5260,-8.67,-0.55,-6.36,0,1,1
5280,-8.65,0.2,-5.58,0,1,1
5300,-6.47,0.49,-4.58,0,1,1
5320,-5.85,0.51,-4.05,0,1,1
5340,-7.39,0.8,-4.03,0,1,1
5360,-7.28,0.19,-4.56,0,1,1
5380,-6.37,0.08,-2.43,0,1,1
5400,-4.41,-0.71,-0.67,0,1,1
5420,-4.38,-1.36,-0.75,0,1,1
5440,-5.81,-1.75,-2.93,0,1,1
5460,-8.22,-1.88,-4.5,0,1,1
5480,-5.57,-1.86,-3.17,0,1,1
5500,-5.81,-1.59,-2.75,0,1,1
5520,-5.35,-2.36,-3.38,0,1,1
5540,-5.39,-2.15,-2.95,0,1,1
5560,-6.35,-2.88,-2.73,0,1,1
5580,-10.28,-2.85,-0.31,0,1,1
5600,-5.65,-1.24,-2.35,0,1,1
5620,-4.87,0.32,-1.94,0,1,1
5640,-5.69,0.72,-2.89,0,1,1
5660,-7.24,0.04,-2.61,0,1,1
5680,-8.3,-2.31,-1.12,0,1,1
5700,-9.56,-3.88,0.58,0,1,1
5720,-11.94,-4.25,-1.15,0,1,1
5740,-12.81,-5.21,-4.99,0,1,1
5760,-13.9,-6.12,-4.52,0,1,1
5780,-14.32,-5.24,-8.8,0,1,1
5800,-8.97,4.74,1.89,0,1,1
5820,-11.89,10.94,6.08,0,1,1
5840,-9.76,6.26,14.78,0,1,1
5860,-12.27,4.65,19.14,0,1,1
5880,-3.77,15.85,19.62,0,1,1
5900,-1.69,7.32,19.62,0,1,1
5920,-1.26,-0.11,19.62,0,1,1
5940,1.29,-1.04,19.62,0,1,1
5960,-0.13,-1.41,19.62,0,1,1
5980,2.0,-3.3,19.37,0,1,1
6000,0.45,-7.15,12.77,0,1,1
6020,2.15,-5.7,11.36,0,1,1
6040,3.38,-3.56,9.81,0,1,1
6060,2.12,-2.5,8.25,0,1,1
6080,-0.6,-3.0,6.64,0,1,1
6100,1.19,-2.17,3.84,0,1,1
6120,2.93,-0.33,4.23,0,1,1
6140,1.18,0.48,3.3,0,1,1
6160,0.8,-0.68,2.3,0,1,1
6180,1.31,-2.45,1.09,0,1,1
6200,2.99,-5.08,3.74,0,1,1
6220,-0.31,-1.97,2.98,0,1,1
6240,-0.76,0.86,6.09,0,1,1
6260,-0.81,0.38,6.65,0,1,1
6280,0.26,-1.89,7.71,0,1,1
6300,-1.51,-3.06,7.15,0,1,1
6320,-3.27,-0.57,8.54,0,1,1
6340,-4.58,0.71,10.16,0,1,1
6360,-4.95,0.38,11.88,0,1,1
6380,-6.77,2.09,12.17,0,1,1
6400,-7.76,2.92,11.36,0,1,1
6420,-9.36,3.3,10.85,0,1,1
6440,-10.68,4.97,12.26,0,1,1
6460,-10.57,5.45,10.98,0,1,1
6480,-13.14,5.88,8.98,0,1,1
6500,-12.28,5.36,7.48,0,1,1
6520,-8.91,1.1,7.61,0,1,1
6540,-9.79,0.19,6.88,0,1,1
6560,-9.71,-0.32,4.56,0,1,1
6580,-8.16,0.4,3.22,0,1,1
6600,-7.22,0.49,4.33,0,1,1
6620,-5.93,0.49,5.41,0,1,1
6640,-5.49,0.05,5.25,0,1,1
6660,-5.38,0.21,4.81,0,1,1
6680,-4.82,-0.68,4.19,0,1,1
6700,-3.97,-0.91,5.45,0,1,1
6720,-4.08,-0.41,5.58,0,1,1
6740,-5.34,-0.17,4.99,0,1,1
6760,-5.9,-0.6,5.34,0,1,1
6780,-5.79,-0.91,6.02,0,1,1
6800,-6.11,-1.38,6.65,0,1,1
6820,-5.27,-2.2,7.01,0,1,1
6840,-5.69,-2.85,8.37,0,1,1
6860,-5.39,-1.51,10.19,0,1,1
6880,-5.67,-1.15,9.82,0,1,1
6900,-6.27,-1.84,8.45,0,1,1
6920,-5.23,-1.51,9.27,0,1,1
6940,-5.63,-1.77,9.34,0,1,1
6960,-5.42,-0.74,7.94,0,1,1
6980,-5.5,-0.8,8.21,0,1,1
7000,-5.03,-1.52,8.43,0,1,1
7020,-4.89,-1.5,8.33,0,1,1
7040,-4.51,-0.96,7.75,0,1,1
7060,-4.35,-0.3,8.0,0,1,1
7080,-4.19,-0.05,8.71,0,1,1
